"idx","period","school","exp1","exp2","school_c","work1","work2","home"
517,17,10,15,0,0,1,0,0
517,18,10,16,0,0,1,0,0
517,19,10,17,0,0,1,0,0
517,20,10,18,0,0,1,0,0
517,21,10,19,0,0,1,0,0
517,22,10,20,0,0,1,0,0
517,23,10,21,0,0,1,0,0
517,24,10,22,0,0,1,0,0
517,25,10,23,0,0,1,0,0
517,26,10,24,0,0,1,0,0
517,27,10,25,0,0,1,0,0
517,28,10,26,0,0,1,0,0
517,29,10,27,0,0,1,0,0
517,30,10,28,0,0,1,0,0
517,31,10,29,0,0,1,0,0
517,32,10,30,0,0,1,0,0
517,33,10,31,0,0,1,0,0
517,34,10,32,0,0,1,0,0
517,35,10,33,0,0,1,0,0
517,36,10,34,0,0,1,0,0
517,37,10,35,0,0,1,0,0
517,38,10,36,0,0,1,0,0
517,39,10,37,0,0,1,0,0
517,40,10,38,0,0,1,0,0
518,1,10,0,0,0,0,0,0
518,2,10,1,0,0,1,0,0
518,3,10,2,0,0,1,0,0
518,4,10,3,0,0,1,0,0
518,5,10,4,0,0,1,0,0
518,6,10,5,0,0,1,0,0
518,7,10,6,0,0,1,0,0
518,8,10,7,0,0,1,0,0
518,9,10,8,0,0,1,0,0
518,10,10,9,0,0,1,0,0
518,11,10,10,0,0,1,0,0
518,12,10,11,0,0,1,0,0
518,13,10,12,0,0,1,0,0
518,14,10,13,0,0,1,0,0
518,15,10,13,0,0,0,0,1
518,16,10,14,0,0,1,0,0
518,17,10,15,0,0,1,0,0
518,18,10,16,0,0,1,0,0
518,19,10,17,0,0,1,0,0
518,20,10,17,1,0,0,1,0
518,21,10,17,1,0,0,0,1
518,22,10,17,2,0,0,1,0
518,23,10,18,2,0,1,0,0
518,24,10,19,2,0,1,0,0
518,25,10,20,2,0,1,0,0
518,26,10,21,2,0,1,0,0
518,27,10,22,2,0,1,0,0
518,28,10,23,2,0,1,0,0
518,29,10,24,2,0,1,0,0
518,30,10,25,2,0,1,0,0
518,31,10,26,2,0,1,0,0
518,32,10,27,2,0,1,0,0
518,33,10,28,2,0,1,0,0
518,34,10,29,2,0,1,0,0
518,35,10,30,2,0,1,0,0
518,36,10,31,2,0,1,0,0
518,37,10,32,2,0,1,0,0
518,38,10,33,2,0,1,0,0
518,39,10,34,2,0,1,0,0
518,40,10,35,2,0,1,0,0
519,1,10,0,0,0,0,0,0
519,2,10,0,0,0,0,0,1
519,3,10,1,0,0,1,0,0
519,4,10,2,0,0,1,0,0
519,5,10,3,0,0,1,0,0
519,6,10,4,0,0,1,0,0
519,7,10,4,0,0,0,0,1
519,8,10,5,0,0,1,0,0
519,9,10,5,0,0,0,0,1
519,10,10,6,0,0,1,0,0
519,11,10,7,0,0,1,0,0
519,12,10,8,0,0,1,0,0
519,13,10,9,0,0,1,0,0
519,14,10,9,0,0,0,0,1
519,15,10,10,0,0,1,0,0
519,16,10,11,0,0,1,0,0
519,17,10,12,0,0,1,0,0
519,18,10,13,0,0,1,0,0
519,19,10,13,0,0,0,0,1
519,20,10,14,0,0,1,0,0
519,21,10,15,0,0,1,0,0
519,22,10,16,0,0,1,0,0
519,23,10,17,0,0,1,0,0
519,24,10,18,0,0,1,0,0
519,25,10,19,0,0,1,0,0
519,26,10,20,0,0,1,0,0
519,27,10,21,0,0,1,0,0
519,28,10,22,0,0,1,0,0
519,29,10,23,0,0,1,0,0
519,30,10,24,0,0,1,0,0
519,31,10,25,0,0,1,0,0
519,32,10,25,0,0,0,0,1
519,33,10,26,0,0,1,0,0
519,34,10,27,0,0,1,0,0
519,35,10,28,0,0,1,0,0
519,36,10,29,0,0,1,0,0
519,37,10,30,0,0,1,0,0
519,38,10,31,0,0,1,0,0
519,39,10,32,0,0,1,0,0
519,40,10,33,0,0,1,0,0
520,1,10,0,0,0,0,0,0
520,2,10,1,0,0,1,0,0
520,3,10,2,0,0,1,0,0
520,4,10,2,1,0,0,1,0
520,5,10,3,1,0,1,0,0
520,6,10,3,2,0,0,1,0
520,7,10,3,3,0,0,1,0
520,8,10,4,3,0,1,0,0
520,9,10,5,3,0,1,0,0
520,10,10,6,3,0,1,0,0
520,11,10,7,3,0,1,0,0
520,12,10,7,4,0,0,1,0
520,13,10,8,4,0,1,0,0
520,14,10,9,4,0,1,0,0
520,15,10,10,4,0,1,0,0
520,16,10,10,5,0,0,1,0
520,17,10,10,6,0,0,1,0
520,18,10,11,6,0,1,0,0
520,19,10,11,7,0,0,1,0
520,20,10,11,8,0,0,1,0
520,21,10,11,9,0,0,1,0
520,22,10,11,10,0,0,1,0
520,23,10,11,11,0,0,1,0
520,24,10,11,12,0,0,1,0
520,25,10,11,13,0,0,1,0
520,26,10,11,14,0,0,1,0
520,27,10,11,15,0,0,1,0
520,28,10,11,16,0,0,1,0
520,29,10,11,17,0,0,1,0
520,30,10,11,18,0,0,1,0
520,31,10,11,19,0,0,1,0
520,32,10,11,20,0,0,1,0
520,33,10,11,21,0,0,1,0
520,34,10,12,21,0,1,0,0
520,35,10,12,22,0,0,1,0
520,36,10,12,23,0,0,1,0
520,37,10,12,24,0,0,1,0
520,38,10,12,25,0,0,1,0
520,39,10,12,26,0,0,1,0
520,40,10,13,26,0,1,0,0
521,1,10,0,0,0,0,0,0
521,2,10,1,0,0,1,0,0
521,3,10,2,0,0,1,0,0
521,4,10,2,0,0,0,0,1
521,5,10,3,0,0,1,0,0
521,6,10,4,0,0,1,0,0
521,7,10,5,0,0,1,0,0
521,8,10,5,0,0,0,0,1
521,9,10,6,0,0,1,0,0
521,10,10,7,0,0,1,0,0
521,11,10,8,0,0,1,0,0
521,12,10,9,0,0,1,0,0
521,13,10,10,0,0,1,0,0
521,14,10,11,0,0,1,0,0
521,15,10,12,0,0,1,0,0
521,16,10,13,0,0,1,0,0
521,17,10,13,0,0,0,0,1
521,18,10,13,1,0,0,1,0
521,19,10,14,1,0,1,0,0
521,20,10,15,1,0,1,0,0
521,21,10,16,1,0,1,0,0
521,22,10,16,1,0,0,0,1
521,23,10,17,1,0,1,0,0
521,24,10,18,1,0,1,0,0
521,25,10,19,1,0,1,0,0
521,26,10,20,1,0,1,0,0
521,27,10,21,1,0,1,0,0
521,28,10,21,1,0,0,0,1
521,29,10,22,1,0,1,0,0
521,30,10,23,1,0,1,0,0
521,31,10,24,1,0,1,0,0
521,32,10,25,1,0,1,0,0
521,33,10,26,1,0,1,0,0
521,34,10,27,1,0,1,0,0
521,35,10,28,1,0,1,0,0
521,36,10,29,1,0,1,0,0
521,37,10,30,1,0,1,0,0
521,38,10,31,1,0,1,0,0
521,39,10,32,1,0,1,0,0
521,40,10,33,1,0,1,0,0
522,1,10,0,0,0,0,0,0
522,2,10,1,0,0,1,0,0
522,3,10,1,1,0,0,1,0
522,4,10,1,2,0,0,1,0
522,5,10,2,2,0,1,0,0
522,6,10,3,2,0,1,0,0
522,7,10,3,3,0,0,1,0
522,8,10,4,3,0,1,0,0
522,9,10,4,4,0,0,1,0
522,10,10,4,5,0,0,1,0
522,11,10,5,5,0,1,0,0
522,12,10,5,6,0,0,1,0
522,13,10,5,7,0,0,1,0
522,14,10,6,7,0,1,0,0
522,15,10,7,7,0,1,0,0
522,16,10,7,8,0,0,1,0
522,17,10,7,9,0,0,1,0
522,18,10,8,9,0,1,0,0
522,19,10,8,10,0,0,1,0
522,20,10,8,11,0,0,1,0
522,21,10,8,12,0,0,1,0
522,22,10,8,13,0,0,1,0
522,23,10,8,14,0,0,1,0
522,24,10,8,15,0,0,1,0
522,25,10,8,16,0,0,1,0
522,26,10,8,17,0,0,1,0
522,27,10,8,18,0,0,1,0
522,28,10,8,19,0,0,1,0
522,29,10,8,20,0,0,1,0
522,30,10,8,21,0,0,1,0
522,31,10,8,22,0,0,1,0
522,32,10,8,23,0,0,1,0
522,33,10,8,24,0,0,1,0
522,34,10,8,25,0,0,1,0
522,35,10,8,26,0,0,1,0
522,36,10,8,27,0,0,1,0
522,37,10,8,28,0,0,1,0
522,38,10,8,29,0,0,1,0
522,39,10,8,30,0,0,1,0
522,40,10,8,31,0,0,1,0
523,1,10,0,0,0,0,0,0
523,2,10,1,0,0,1,0,0
523,3,10,2,0,0,1,0,0
523,4,10,3,0,0,1,0,0
523,5,10,4,0,0,1,0,0
523,6,10,4,0,0,0,0,1
523,7,10,5,0,0,1,0,0
523,8,10,6,0,0,1,0,0
523,9,10,7,0,0,1,0,0
523,10,10,8,0,0,1,0,0
523,11,10,9,0,0,1,0,0
523,12,10,10,0,0,1,0,0
523,13,10,11,0,0,1,0,0
523,14,10,11,0,0,0,0,1
523,15,10,12,0,0,1,0,0
523,16,10,13,0,0,1,0,0
523,17,10,13,0,0,0,0,1
523,18,10,14,0,0,1,0,0
523,19,10,15,0,0,1,0,0
523,20,10,16,0,0,1,0,0
523,21,10,17,0,0,1,0,0
523,22,10,18,0,0,1,0,0
523,23,10,19,0,0,1,0,0
523,24,10,20,0,0,1,0,0
523,25,10,21,0,0,1,0,0
523,26,10,22,0,0,1,0,0
523,27,10,23,0,0,1,0,0
523,28,10,24,0,0,1,0,0
523,29,10,25,0,0,1,0,0
523,30,10,26,0,0,1,0,0
523,31,10,27,0,0,1,0,0
523,32,10,28,0,0,1,0,0
523,33,10,29,0,0,1,0,0
523,34,10,30,0,0,1,0,0
523,35,10,31,0,0,1,0,0
523,36,10,32,0,0,1,0,0
523,37,10,33,0,0,1,0,0
523,38,10,34,0,0,1,0,0
523,39,10,35,0,0,1,0,0
523,40,10,36,0,0,1,0,0
524,1,10,0,0,0,0,0,0
524,2,10,1,0,0,1,0,0
524,3,10,2,0,0,1,0,0
524,4,10,2,0,0,0,0,1
524,5,10,3,0,0,1,0,0
524,6,10,4,0,0,1,0,0
524,7,10,5,0,0,1,0,0
524,8,10,6,0,0,1,0,0
524,9,10,7,0,0,1,0,0
524,10,10,8,0,0,1,0,0
524,11,10,9,0,0,1,0,0
524,12,10,10,0,0,1,0,0
524,13,10,11,0,0,1,0,0
524,14,10,12,0,0,1,0,0
524,15,10,13,0,0,1,0,0
524,16,10,14,0,0,1,0,0
524,17,10,15,0,0,1,0,0
524,18,10,16,0,0,1,0,0
524,19,10,17,0,0,1,0,0
524,20,10,18,0,0,1,0,0
524,21,10,19,0,0,1,0,0
524,22,10,19,1,0,0,1,0
524,23,10,20,1,0,1,0,0
524,24,10,21,1,0,1,0,0
524,25,10,22,1,0,1,0,0
524,26,10,22,2,0,0,1,0
524,27,10,23,2,0,1,0,0
524,28,10,24,2,0,1,0,0
524,29,10,25,2,0,1,0,0
524,30,10,26,2,0,1,0,0
524,31,10,27,2,0,1,0,0
524,32,10,28,2,0,1,0,0
524,33,10,29,2,0,1,0,0
524,34,10,30,2,0,1,0,0
524,35,10,31,2,0,1,0,0
524,36,10,32,2,0,1,0,0
524,37,10,33,2,0,1,0,0
524,38,10,33,2,0,0,0,1
524,39,10,34,2,0,1,0,0
524,40,10,35,2,0,1,0,0
525,1,10,0,0,0,0,0,0
525,2,10,0,0,0,0,0,1
525,3,10,1,0,0,1,0,0
525,4,10,2,0,0,1,0,0
525,5,10,3,0,0,1,0,0
525,6,10,3,0,0,0,0,1
525,7,10,4,0,0,1,0,0
525,8,10,5,0,0,1,0,0
525,9,10,6,0,0,1,0,0
525,10,10,7,0,0,1,0,0
525,11,10,8,0,0,1,0,0
525,12,10,9,0,0,1,0,0
525,13,10,10,0,0,1,0,0
525,14,10,10,0,0,0,0,1
525,15,10,11,0,0,1,0,0
525,16,10,11,0,0,0,0,1
525,17,10,12,0,0,1,0,0
525,18,10,12,0,0,0,0,1
525,19,10,13,0,0,1,0,0
525,20,10,14,0,0,1,0,0
525,21,10,15,0,0,1,0,0
525,22,10,16,0,0,1,0,0
525,23,10,17,0,0,1,0,0
525,24,10,18,0,0,1,0,0
525,25,10,19,0,0,1,0,0
525,26,10,20,0,0,1,0,0
525,27,10,21,0,0,1,0,0
525,28,10,22,0,0,1,0,0
525,29,10,23,0,0,1,0,0
525,30,10,24,0,0,1,0,0
525,31,10,25,0,0,1,0,0
525,32,10,26,0,0,1,0,0
525,33,10,27,0,0,1,0,0
525,34,10,28,0,0,1,0,0
525,35,10,29,0,0,1,0,0
525,36,10,30,0,0,1,0,0
525,37,10,31,0,0,1,0,0
525,38,10,32,0,0,1,0,0
525,39,10,33,0,0,1,0,0
525,40,10,34,0,0,1,0,0
526,1,10,0,0,0,0,0,0
526,2,10,1,0,0,1,0,0
526,3,10,1,1,0,0,1,0
526,4,10,2,1,0,1,0,0
526,5,10,2,2,0,0,1,0
526,6,10,2,3,0,0,1,0
526,7,10,3,3,0,1,0,0
526,8,10,3,4,0,0,1,0
526,9,10,3,5,0,0,1,0
526,10,10,4,5,0,1,0,0
526,11,10,4,6,0,0,1,0
526,12,10,4,7,0,0,1,0
526,13,10,4,8,0,0,1,0
526,14,10,5,8,0,1,0,0
526,15,10,5,9,0,0,1,0
526,16,10,5,10,0,0,1,0
526,17,10,5,11,0,0,1,0
526,18,10,6,11,0,1,0,0
526,19,10,6,12,0,0,1,0
526,20,10,6,13,0,0,1,0
526,21,10,6,14,0,0,1,0
526,22,10,6,15,0,0,1,0
526,23,10,6,16,0,0,1,0
526,24,10,7,16,0,1,0,0
526,25,10,7,17,0,0,1,0
526,26,10,7,18,0,0,1,0
526,27,10,7,19,0,0,1,0
526,28,10,7,20,0,0,1,0
526,29,10,7,21,0,0,1,0
526,30,10,7,22,0,0,1,0
526,31,10,7,23,0,0,1,0
526,32,10,7,24,0,0,1,0
526,33,10,8,24,0,1,0,0
526,34,10,8,25,0,0,1,0
526,35,10,8,26,0,0,1,0
526,36,10,8,27,0,0,1,0
526,37,10,8,28,0,0,1,0
526,38,10,8,29,0,0,1,0
526,39,10,8,30,0,0,1,0
526,40,10,8,31,0,0,1,0
527,1,10,0,0,0,0,0,0
527,2,10,0,0,0,0,0,1
527,3,10,1,0,0,1,0,0
527,4,10,2,0,0,1,0,0
527,5,10,3,0,0,1,0,0
527,6,10,4,0,0,1,0,0
527,7,10,5,0,0,1,0,0
527,8,10,5,0,0,0,0,1
527,9,10,6,0,0,1,0,0
527,10,10,7,0,0,1,0,0
527,11,10,7,1,0,0,1,0
527,12,10,8,1,0,1,0,0
527,13,10,9,1,0,1,0,0
527,14,10,10,1,0,1,0,0
527,15,10,11,1,0,1,0,0
527,16,10,12,1,0,1,0,0
527,17,10,13,1,0,1,0,0
527,18,10,14,1,0,1,0,0
527,19,10,15,1,0,1,0,0
527,20,10,16,1,0,1,0,0
527,21,10,17,1,0,1,0,0
527,22,10,18,1,0,1,0,0
527,23,10,19,1,0,1,0,0
527,24,10,20,1,0,1,0,0
527,25,10,21,1,0,1,0,0
527,26,10,22,1,0,1,0,0
527,27,10,23,1,0,1,0,0
527,28,10,24,1,0,1,0,0
527,29,10,25,1,0,1,0,0
527,30,10,26,1,0,1,0,0
527,31,10,26,2,0,0,1,0
527,32,10,27,2,0,1,0,0
527,33,10,28,2,0,1,0,0
527,34,10,28,3,0,0,1,0
527,35,10,29,3,0,1,0,0
527,36,10,30,3,0,1,0,0
527,37,10,31,3,0,1,0,0
527,38,10,32,3,0,1,0,0
527,39,10,33,3,0,1,0,0
527,40,10,34,3,0,1,0,0
528,1,10,0,0,0,0,0,0
528,2,10,1,0,0,1,0,0
528,3,10,2,0,0,1,0,0
528,4,10,3,0,0,1,0,0
528,5,10,4,0,0,1,0,0
528,6,10,4,0,0,0,0,1
528,7,10,5,0,0,1,0,0
528,8,10,6,0,0,1,0,0
528,9,10,7,0,0,1,0,0
528,10,10,8,0,0,1,0,0
528,11,10,9,0,0,1,0,0
528,12,10,10,0,0,1,0,0
528,13,10,11,0,0,1,0,0
528,14,10,12,0,0,1,0,0
528,15,10,13,0,0,1,0,0
